title,artist,bpm,key,genre,rating,duration
"Electric Dreams","NEON PULSE",124,"8B","Synthwave",5,"04:32"
"Midnight Runner","CYBER NIGHTS",126,"9B","Techno",4,"04:58"
"City Lights","URBAN ECHO",120,"4A","House",4,"03:45"
"Deep Space","STELLAR DRIFT",128,"7B","Progressive House",5,"05:21"
"Analog Soul","VINTAGE PULSE",110,"2A","Downtempo",3,"03:18"
"Quantum Beat","FUTURE BASS",140,"11B","Future Bass",5,"04:07"
"Neon Highway","RETROWAVE",118,"5A","Retrowave",4,"06:15"
"Digital Dawn","CYBER PULSE",132,"10B","Electro",4,"03:52"
"Bass Drop Zone","HEAVY SYNTH",150,"6A","Dubstep",3,"02:58"
"Ambient Flow","CHILL WAVE",95,"1B","Ambient",5,"07:23"
"Techno Revolution","INDUSTRIAL CORE",145,"12A","Hard Techno",4,"05:44"
"Melodic Horizon","PROGRESSIVE WAVE",135,"3B","Progressive Trance",5,"08:12"